City,Latitude,Longitude
서울,37.5665,126.978
인천,37.4563,126.7052
수원,37.2636,127.0286
성남,37.4202,127.1265
고양,37.6584,126.832
용인,37.2411,127.1776
안산,37.3219,126.8309
연천,38.0955,127.075
안양,37.3943,126.9568
남양주,37.636,127.2165
부천,37.5045,126.763
화성,37.1995,126.831
평택,36.9947,127.0886
군포,37.3625,126.9353
광명,37.4772,126.8664
김포,37.6151,126.7158
의정부,37.7381,127.0336
시흥,37.38,126.8022
광주(경기),37.4092,127.255
동두천,37.9012,127.0602
오산,37.1452,127.071
의왕,37.3446,126.968
파주,37.7599,126.775
양주,37.7853,127.0456
하남,37.5393,127.2142
포천,37.8946,127.2002
이천,37.2799,127.446
양평,37.4919,127.487
